,Elapsed time(seconds),SpO2(%),hr (bpm)
0,0.000, 95.000, 91.000
1,1.000, 95.000, 92.000
2,2.000, 95.000, 92.000
3,3.000, 95.000, 93.000
4,4.000, 95.000, 93.000
5,5.000, 95.000, 94.000
6,6.000, 95.000, 95.000
7,7.000, 95.000, 93.000
8,8.000, 95.000, 92.000
9,9.000, 95.000, 92.000
10,10.000, 95.000, 92.000
11,11.000, 95.000, 92.000
12,12.000, 95.000, 95.000
13,13.000, 95.000, 95.000
14,14.000, 95.000, 93.000
15,15.000, 94.000, 92.000
16,16.000, 94.000, 91.000
17,17.000, 94.000, 91.000
18,18.000, 94.000, 92.000
19,19.000, 94.000, 91.000
20,20.000, 94.000, 91.000
21,21.000, 94.000, 91.000
22,22.000, 94.000, 90.000
23,23.000, 94.000, 88.000
24,24.000, 94.000, 87.000
25,25.000, 94.000, 85.000
26,26.000, 94.000, 85.000
27,27.000, 95.000, 84.000
28,28.000, 95.000, 84.000
29,29.000, 95.000, 84.000
30,30.000, 95.000, 84.000
31,31.000, 95.000, 83.000
32,32.000, 95.000, 82.000
33,33.000, 95.000, 81.000
34,34.000, 95.000, 80.000
35,35.000, 95.000, 80.000
36,36.000, 95.000, 80.000
37,37.000, 96.000, 79.000
38,38.000, 95.000, 80.000
39,39.000, 96.000, 80.000
40,40.000, 96.000, 79.000
41,41.000, 96.000, 80.000
42,42.000, 96.000, 80.000
43,43.000, 95.000, 80.000
44,44.000, 95.000, 80.000
45,45.000, 95.000, 80.000
46,46.000, 95.000, 80.000
47,47.000, 95.000, 80.000
48,48.000, 95.000, 80.000
49,49.000, 95.000, 80.000
50,50.000, 95.000, 81.000
51,51.000, 95.000, 81.000
52,52.000, 95.000, 81.000
53,53.000, 95.000, 81.000
54,54.000, 95.000, 81.000
55,55.000, 95.000, 81.000
56,56.000, 95.000, 81.000
57,57.000, 95.000, 80.000
58,58.000, 95.000, 80.000
59,59.000, 95.000, 81.000
60,60.000, 95.000, 80.000
61,61.000, 95.000, 80.000
62,62.000, 95.000, 80.000
63,63.000, 95.000, 79.000
64,64.000, 95.000, 78.000
65,65.000, 95.000, 78.000
66,66.000, 95.000, 78.000
67,67.000, 95.000, 78.000
68,68.000, 95.000, 78.000
69,69.000, 95.000, 79.000
70,70.000, 95.000, 79.000
71,71.000, 95.000, 80.000
72,72.000, 95.000, 81.000
73,73.000, 95.000, 82.000
74,74.000, 95.000, 82.000
75,75.000, 95.000, 82.000
76,76.000, 95.000, 82.000
77,77.000, 95.000, 82.000
78,78.000, 95.000, 81.000
79,79.000, 95.000, 81.000
80,80.000, 95.000, 81.000
81,81.000, 95.000, 81.000
82,82.000, 95.000, 81.000
83,83.000, 95.000, 81.000
84,84.000, 95.000, 81.000
85,85.000, 95.000, 81.000
86,86.000, 95.000, 81.000
87,87.000, 95.000, 82.000
88,88.000, 95.000, 82.000
89,89.000, 95.000, 82.000
90,90.000, 95.000, 82.000
91,91.000, 95.000, 83.000
92,92.000, 95.000, 82.000
93,93.000, 95.000, 82.000
94,94.000, 95.000, 81.000
95,95.000, 95.000, 81.000
96,96.000, 95.000, 81.000
97,97.000, 95.000, 80.000
98,98.000, 95.000, 80.000
99,99.000, 95.000, 80.000
100,100.000, 95.000, 80.000
101,101.000, 95.000, 80.000
102,102.000, 95.000, 80.000
103,103.000, 95.000, 80.000
104,104.000, 95.000, 79.000
105,105.000, 95.000, 80.000
106,106.000, 95.000, 80.000
107,107.000, 95.000, 80.000
108,108.000, 95.000, 81.000
109,109.000, 95.000, 81.000
110,110.000, 95.000, 81.000
111,111.000, 95.000, 82.000
112,112.000, 95.000, 82.000
113,113.000, 95.000, 83.000
114,114.000, 95.000, 83.000
115,115.000, 95.000, 83.000
116,116.000, 95.000, 83.000
117,117.000, 95.000, 83.000
118,118.000, 95.000, 83.000
119,119.000, 95.000, 82.000
120,120.000, 95.000, 83.000
121,121.000, 95.000, 82.000
122,122.000, 95.000, 82.000
123,123.000, 95.000, 81.000
124,124.000, 95.000, 81.000
125,125.000, 95.000, 81.000
126,126.000, 95.000, 81.000
127,127.000, 95.000, 81.000
128,128.000, 96.000, 81.000
129,129.000, 95.000, 82.000
130,130.000, 95.000, 82.000
131,131.000, 95.000, 82.000
132,132.000, 95.000, 82.000
133,133.000, 95.000, 81.000
134,134.000, 95.000, 82.000
135,135.000, 95.000, 82.000
136,136.000, 95.000, 82.000
137,137.000, 95.000, 83.000
138,138.000, 95.000, 83.000
139,139.000, 95.000, 83.000
140,140.000, 95.000, 82.000
141,141.000, 95.000, 82.000
142,142.000, 95.000, 82.000
143,143.000, 95.000, 82.000
144,144.000, 95.000, 82.000
145,145.000, 95.000, 83.000
146,146.000, 95.000, 83.000
147,147.000, 95.000, 84.000
148,148.000, 95.000, 84.000
149,149.000, 95.000, 84.000
150,150.000, 96.000, 84.000
